"Creative Commons Licence by attribution (https://creativecommons.org/licenses/by/4.0/). Climate Change Initiative - European Space Agency, These data were produced by the University of Reading as part of the ESA CCI project. (https://surftemp.net)"
"Time series of 5-day sea surface_temperature averaged across ocean surface within latitudes 38.00 and 40.00 and longitudes 2.00 and 4.00, in kelvin and degree Celsius. "
year,month,day,mean temperature kelvin,mean temperature deg C,mean temperature uncertainty,fraction of sea-ice-covered ocean
1981,4,28,288.86732,15.71732063387941,0.56496,0.00000
1981,5,3,289.15631,16.00631115780004,0.30177,0.00000
1981,5,8,289.61951,16.469508756588823,0.62869,0.00000
1981,5,13,289.88256,16.732559100454125,0.46492,0.00000
1981,5,18,290.38985,17.239848234074202,0.44125,0.00000
1981,5,23,291.33338,18.18338179000756,0.53291,0.00000
1981,5,28,291.90130,18.751299986125446,0.46869,0.00000
1981,6,3,292.81392,19.663924209474203,0.57300,0.00000
1981,6,8,293.75748,20.607483532084927,0.65705,0.00000
1981,6,13,295.01486,21.864863512860666,0.77349,0.00000
1981,6,18,295.51960,22.369599788152527,0.71332,0.00000
1981,6,23,295.24012,22.090117767831828,0.63634,0.00000
1981,6,28,295.66880,22.518804297632414,0.75049,0.00000
1981,7,3,296.10672,22.956718945727403,0.74425,0.00000
1981,7,8,296.24619,23.096187083498307,0.71368,0.00000
1981,7,13,296.53076,23.380755176948128,0.66333,0.00000
1981,7,18,297.16699,24.016985757394025,0.95332,0.00000
1981,7,23,297.14919,23.999189387973445,0.68818,0.00000
1981,7,28,297.67794,24.527938072773225,0.77165,0.00000
1981,8,3,298.02870,24.87869672525858,0.81954,0.00000
1981,8,8,297.91720,24.767197945969485,0.59599,0.00000
1981,8,13,298.24940,25.09940408835581,0.87935,0.00000
1981,8,18,298.73944,25.58944198730626,0.84125,0.00000
1981,8,23,298.44215,25.292148814235873,0.62329,0.00000
1981,8,28,298.09136,24.941359409801237,0.37625,0.00000
1981,9,3,298.13664,24.986635895948268,0.35616,0.00000
1981,9,8,297.97010,24.82009604542003,0.32037,0.00000
1981,9,13,298.01419,24.864190750944147,0.33556,0.00000
1981,9,18,298.26225,25.112249310261973,0.32778,0.00000
1981,9,23,298.13244,24.982442715038133,0.35879,0.00000
1981,9,28,297.37410,24.224103764945312,0.31269,0.00000
1981,10,3,296.49929,23.349294908449565,0.33291,0.00000
